time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-04-21 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-04-21 10:30:00-04:00,buy,fill,178.0,SPY,stock,,0.0,,276.7300109863281,market,1,0.0
2020-04-22 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-04-22 10:30:00-04:00,sell,fill,178.0,SPY,stock,,0.0,,278.3500061035156,market,1,0.0
2020-05-04 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-05-04 10:30:00-04:00,buy,fill,177.0,SPY,stock,,0.0,,280.739990234375,market,1,0.0
2020-05-05 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-05-05 10:30:00-04:00,sell,fill,177.0,SPY,stock,,0.0,,286.6400146484375,market,1,0.0
2020-05-20 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-05-20 10:30:00-04:00,buy,fill,174.0,SPY,stock,,0.0,,295.82000732421875,market,1,0.0
2020-06-17 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-06-17 10:30:00-04:00,sell,fill,174.0,SPY,stock,,0.0,,314.07000732421875,market,1,0.0
2020-06-18 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-06-18 10:30:00-04:00,buy,fill,168.0,SPY,stock,,0.0,,310.010009765625,market,1,0.0
2020-06-25 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-06-25 10:30:00-04:00,sell,fill,168.0,SPY,stock,,0.0,,303.4700012207031,market,1,0.0
2020-08-07 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-08-07 10:30:00-04:00,buy,fill,155.0,SPY,stock,,0.0,,333.2799987792969,market,1,0.0
2020-09-22 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-09-22 10:30:00-04:00,sell,fill,155.0,SPY,stock,,0.0,,328.57000732421875,market,1,0.0
2020-10-05 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-10-05 10:30:00-04:00,buy,fill,154.0,SPY,stock,,0.0,,336.05999755859375,market,1,0.0
2020-10-06 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-10-06 10:30:00-04:00,sell,fill,154.0,SPY,stock,,0.0,,339.9100036621094,market,1,0.0
2020-10-15 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-10-15 10:30:00-04:00,buy,fill,148.0,SPY,stock,,0.0,,343.7099914550781,market,1,0.0
2020-10-27 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-10-27 10:30:00-04:00,sell,fill,148.0,SPY,stock,,0.0,,339.760009765625,market,1,0.0
2020-11-09 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-11-09 09:30:00-05:00,buy,fill,147.0,SPY,stock,,0.0,,363.9700012207031,market,1,0.0
2021-01-20 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2021-01-20 09:30:00-05:00,sell,fill,147.0,SPY,stock,,0.0,,381.1099853515625,market,1,0.0
2021-01-26 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2021-01-26 09:30:00-05:00,buy,fill,137.0,SPY,stock,,0.0,,385.4100036621094,market,1,0.0
2021-01-28 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2021-01-28 09:30:00-05:00,sell,fill,137.0,SPY,stock,,0.0,,376.3599853515625,market,1,0.0
2021-07-28 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2021-07-28 10:30:00-04:00,buy,fill,118.0,SPY,stock,,0.0,,439.67999267578125,market,1,0.0
2021-09-22 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2021-09-22 10:30:00-04:00,sell,fill,118.0,SPY,stock,,0.0,,436.04998779296875,market,1,0.0
2021-10-19 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2021-10-19 10:30:00-04:00,buy,fill,116.0,SPY,stock,,0.0,,448.9200134277344,market,1,0.0
2021-11-30 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2021-11-30 09:30:00-05:00,sell,fill,116.0,SPY,stock,,0.0,,462.0,market,1,0.0
2022-02-11 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2022-02-11 09:30:00-05:00,buy,fill,117.0,SPY,stock,,0.0,,449.4100036621094,market,1,0.0
2022-02-15 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-02-15 09:30:00-05:00,sell,fill,117.0,SPY,stock,,0.0,,443.7300109863281,market,1,0.0
2022-02-17 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2022-02-17 09:30:00-05:00,buy,fill,117.0,SPY,stock,,0.0,,443.2200012207031,market,1,0.0
2022-02-18 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-02-18 09:30:00-05:00,sell,fill,117.0,SPY,stock,,0.0,,437.3299865722656,market,1,0.0
2022-03-31 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2022-03-31 10:30:00-04:00,buy,fill,113.0,SPY,stock,,0.0,,457.8900146484375,market,1,0.0
2022-04-07 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-04-07 10:30:00-04:00,sell,fill,113.0,SPY,stock,,0.0,,445.5899963378906,market,1,0.0
2022-06-02 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2022-06-02 10:30:00-04:00,buy,fill,125.0,SPY,stock,,0.0,,409.4200134277344,market,1,0.0
2022-06-13 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-06-13 10:30:00-04:00,sell,fill,125.0,SPY,stock,,0.0,,379.8500061035156,market,1,0.0
2022-07-13 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2022-07-13 10:30:00-04:00,buy,fill,129.0,SPY,stock,,0.0,,375.1000061035156,market,1,0.0
2022-08-26 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-08-26 10:30:00-04:00,sell,fill,129.0,SPY,stock,,0.0,,419.3900146484375,market,1,0.0
2023-01-19 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-01-19 09:30:00-05:00,buy,fill,133.0,SPY,stock,,0.0,,389.3599853515625,market,1,0.0
2023-05-26 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-05-26 10:30:00-04:00,sell,fill,133.0,SPY,stock,,0.0,,415.3299865722656,market,1,0.0
2023-06-15 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-06-15 10:30:00-04:00,buy,fill,123.0,SPY,stock,,0.0,,436.3299865722656,market,1,0.0
2023-07-07 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-07-07 10:30:00-04:00,sell,fill,123.0,SPY,stock,,0.0,,438.6300048828125,market,1,0.0
2023-07-10 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-07-10 10:30:00-04:00,buy,fill,123.0,SPY,stock,,0.0,,438.17999267578125,market,1,0.0
2023-07-12 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-07-12 10:30:00-04:00,sell,fill,123.0,SPY,stock,,0.0,,446.3900146484375,market,1,0.0
2024-02-14 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2024-02-14 09:30:00-05:00,buy,fill,110.0,SPY,stock,,0.0,,496.7900085449219,market,1,0.0
2024-02-15 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2024-02-15 09:30:00-05:00,sell,fill,110.0,SPY,stock,,0.0,,499.2900085449219,market,1,0.0
2024-03-20 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2024-03-20 10:30:00-04:00,buy,fill,106.0,SPY,stock,,0.0,,515.77001953125,market,1,0.0
2024-04-04 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2024-04-04 10:30:00-04:00,sell,fill,106.0,SPY,stock,,0.0,,523.52001953125,market,1,0.0
2024-04-10 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2024-04-10 10:30:00-04:00,buy,fill,106.0,SPY,stock,,0.0,,513.47998046875,market,1,0.0
2024-04-16 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2024-04-16 10:30:00-04:00,sell,fill,106.0,SPY,stock,,0.0,,504.94000244140625,market,1,0.0
2024-05-24 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2024-05-24 10:30:00-04:00,buy,fill,104.0,SPY,stock,,0.0,,527.8499755859375,market,1,0.0
2024-08-01 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2024-08-01 10:30:00-04:00,sell,fill,104.0,SPY,stock,,0.0,,552.5700073242188,market,1,0.0
2024-11-15 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2024-11-15 09:30:00-05:00,buy,fill,94.0,SPY,stock,,0.0,,589.719970703125,market,1,0.0
2024-11-20 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2024-11-20 09:30:00-05:00,sell,fill,94.0,SPY,stock,,0.0,,590.3800048828125,market,1,0.0
2024-11-21 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2024-11-21 09:30:00-05:00,buy,fill,95.0,SPY,stock,,0.0,,593.4000244140625,market,1,0.0
2025-01-29 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2025-01-29 09:30:00-05:00,sell,fill,95.0,SPY,stock,,0.0,,603.719970703125,market,1,0.0
2025-01-30 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,
2025-01-30 09:30:00-05:00,buy,fill,94.0,SPY,stock,,0.0,,603.9600219726562,market,1,0.0
2025-02-05 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2025-02-05 09:30:00-05:00,sell,fill,94.0,SPY,stock,,0.0,,600.6400146484375,market,1,0.0
2025-04-03 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2025-04-03 10:30:00-04:00,buy,fill,100.0,SPY,stock,,0.0,,545.1099853515625,market,1,0.0
2025-04-04 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2025-04-04 10:30:00-04:00,sell,fill,100.0,SPY,stock,,0.0,,523.6699829101562,market,1,0.0
